Generation,AgentID,Score,Lines,Level,Time,Num3LineClears,NumTetrises,W1_AggHeight,W2_Holes,W3_Blockades,W4_Bumpiness,W5_AlmostFull,W6_FillsWell,W7_ClearBonus4,W8_ClearBonus3,W9_ClearBonus2,W10_ClearBonus1
0,0,0,0,1,57,0,0,-4.811130793396141,19.44337351395768,17.69246275909153,-1.5702541237204088,8.24128691300181,19.618941754061428,16.65970746307491,-1.1486206600996902,1.7089453877826806,16.974982617275632
0,1,0,0,1,68,0,0,10.035325064995408,19.539147987443748,12.774629532323765,1.3718805423544662,18.689641121617463,13.175040878897597,9.63960096500726,4.1749012138784725,1.7085475784889628,-4.761903422584616
0,2,920,16,2,90,0,0,8.1859864025945,2.8567389365910403,0.03673843487637818,8.204987989741124,-2.313754547859774,0.9057765155469344,7.637102153967147,-0.4966326845878868,1.3561538074500321,14.76160895165674
0,3,0,0,1,56,0,0,2.894014936958108,2.7846977301541385,10.395590729017963,-1.7925684793442072,19.511128132512063,11.845480702393065,15.063134386658561,10.940994630295155,7.281591884176567,6.669058458264676
0,4,80,2,1,68,0,0,-1.6939486294513872,-1.3174869083624818,-0.8250254192499735,10.602257947372436,-3.1242433024573146,5.986203925299035,9.579055487106984,10.513956106475069,-1.5860098004689362,7.688202391116185
0,5,640,13,2,90,0,0,18.68999326810533,1.3823248538048745,16.896549455406717,15.461419744751883,11.345404252938252,11.61391944914098,17.40048009009361,-4.886113247964742,8.881653046899437,6.403026027552562
0,6,40,1,1,87,0,0,1.2281286091104446,2.106421640697569,-2.448377730367625,19.92142877102555,13.983123752745055,16.017448508670082,1.7385431673826215,8.836748152370054,5.778573306057584,0.25680547094678463
0,7,340,8,1,90,0,0,7.40832401404958,2.6249143403634196,19.411638163528952,12.50308181132225,13.282307866986859,7.28211316744944,8.512670683451658,-1.2335568691927352,14.498277210260106,0.10420360175186616
1,0,0,0,1,3,0,0,-1.6939486294513872,-1.3174869083624818,-0.8250254192499735,10.602257947372436,-3.1242433024573146,5.986203925299035,9.579055487106984,10.513956106475069,-1.5860098004689362,7.688202391116185
1,1,0,0,1,3,0,0,1.2281286091104446,2.106421640697569,-2.448377730367625,19.92142877102555,13.983123752745055,16.017448508670082,1.7385431673826215,8.836748152370054,5.778573306057584,0.25680547094678463
1,2,0,0,1,3,0,0,-1.6939486294513872,-1.3174869083624818,-0.8250254192499735,10.835975435608958,-3.1242433024573146,5.986203925299035,9.579055487106984,10.511744645802928,-1.5860098004689362,7.688202391116185
1,3,0,0,1,3,0,0,-1.4308344665794577,0.7629030835449336,-1.2976409669158828,18.019681670960868,-3.1242433024573146,8.85518514355935,9.579055487106984,8.836748152370054,4.175025507196434,7.688202391116185
1,4,0,0,1,3,0,0,-1.6939486294513872,-1.3174869083624818,-0.8250254192499735,10.602257947372436,-3.1242433024573146,6.041486967408287,9.579055487106984,10.513956106475067,-1.5860098004689362,7.688202391116185
1,5,0,0,1,3,0,0,-1.6939486294513872,0.6163086512771939,-0.8250254192499735,17.98067402812055,-3.1242433024573146,16.017448508670082,2.255880395236426,10.513956106475069,3.2023179713695322,5.915806422375863
1,6,0,0,1,3,0,0,1.2281286091104446,-1.3174869083624818,-0.8250254192499735,11.822350449906185,13.983123752745055,5.986203925299035,8.36232134850583,8.836748152370054,5.310849608219264,0.25680547094678463
1,7,0,0,1,3,0,0,-1.6939486294513872,-1.3174869083624818,-0.6835992266370958,10.602257947372436,-3.1242433024573146,5.986203925299035,9.579055487106984,10.513956106475069,-1.5860098004689362,7.688202391116185
