Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,9,233.20000000000002,92.01357523570347,-23.845960502312714,96.09119384242308,5620.0,112.0,1.0,360.0,98.0,5.0,0.0,1.0,6.516000208985399,17.280270681081397,14.117674158182378,8.356177278231206,3.4655163638633497,11.727099734680683,1.0247507930136723,12.228083711292005,4.115541949944866,16.173314899495644
1,6,160.0,109.02983691340035,-3.308931422593588,58.36133374345528,3440.0,76.0,1.0,360.0,66.0,2.0,2.0,0.0,7.815205744449849,14.01896277098613,9.895729622686517,8.758091069893156,5.576291045071367,12.919810548715713,6.793737354015364,4.278438468432102,6.90965748258288,16.179490614441573
2,9,189.20000000000002,124.3417758996333,-35.82168734289797,70.44853409119499,5320.0,68.0,1.0,360.0,38.0,8.0,2.0,2.0,8.319726107838461,15.53934351284721,10.59026014909523,7.620346864124186,7.027385471687579,5.46630699790061,18.158969617589054,8.564434066779626,1.7630742590874167,6.660217535099765
3,0,195.9,135.10956913836077,24.795691383607675,41.231104258382686,6000.0,60.0,1.0,360.0,30.0,6.0,2.0,3.0,8.319726107838461,15.53934351284721,10.59026014909523,7.620346864124186,7.027385471687579,5.46630699790061,18.158969617589054,8.564434066779626,1.7630742590874167,6.660217535099765
4,9,205.9,138.12379465033857,-7.9620534966143595,52.555539964683064,6600.0,61.0,1.0,360.0,20.0,7.0,5.0,3.0,15.011151815291607,16.57689434763296,15.214733736838284,2.3715311492761355,3.8391986519257424,6.485280948818423,17.28857529428116,8.298096390965572,6.243689151429737,5.790385072702682
5,3,186.29999999999998,133.61772429579207,33.47724295792074,36.67172389757621,5260.0,66.0,1.0,360.0,34.0,9.0,2.0,2.0,2.8931140932000967,15.314299161132965,10.19691666234586,7.14558630237706,7.150941361627988,6.156588490135669,18.05959676100376,8.485574609325521,1.9653766638806778,6.475134960553536
6,1,147.7,122.26464559156287,43.346455915628646,27.411657418224113,3720.0,55.0,1.0,360.0,33.0,6.0,2.0,1.0,19.993624328912375,15.580043398511185,10.59026014909523,8.494167314961107,7.027385471687579,5.46630699790061,18.158969617589054,9.223927033601457,16.15875375441274,6.660217535099765
7,0,206.1,169.76,129.2,27.839224127119632,6480.0,63.0,1.0,360.0,27.0,6.0,4.0,3.0,10.426604255972666,14.427407192753288,19.171297759910964,6.8059344856929656,6.852461278191223,5.940083967234354,10.245412627031865,13.699434562437078,7.340414022192845,5.9417375049761585
8,7,225.70000000000002,155.04085438978208,-12.84175034612295,85.98793322414468,6120.0,97.0,1.0,360.0,63.0,6.0,6.0,1.0,10.077110894683328,15.424203671988057,16.15786074053882,6.825755821923356,6.55693344263426,9.289858176952432,14.382992288212863,9.647065079137771,5.602228872388635,7.232173629835727
9,2,219.4,165.73153026772084,1.6418125756269575,74.00329698484,6000.0,88.0,1.0,360.0,55.0,11.0,1.0,2.0,10.07736627055939,14.303683631202787,16.146803436216402,6.906287410918705,6.516367334037826,9.288950698199404,3.085700294226248,6.937881212363152,5.602228872388635,7.252208414130347
10,7,242.5,167.0576049500666,4.276049500665955,58.66804997850789,7440.0,85.0,1.0,360.0,41.0,10.0,4.0,3.0,17.245115132875604,15.523721405946286,14.772254232735813,8.456659984422123,6.106666883288381,15.430856847351,18.552072330621495,10.87467148683792,11.10178303925581,2.6928104887132536
11,8,215.0,167.17731397542602,-12.62686024573975,61.66546401291707,6040.0,83.0,1.0,360.0,41.0,14.0,2.0,2.0,16.056919498258036,19.794024020024143,6.229499901509389,7.938017806012047,6.192471313730819,9.865713568408907,15.828022174560232,6.98412030436256,10.931728628036334,3.8874401950715805
12,0,294.9,153.29099150754277,-37.035453048124225,120.40099980058585,9600.0,96.0,1.0,360.0,50.0,10.0,2.0,5.0,14.044176167599849,15.167161253288763,10.84745222899874,6.908155388864968,6.958791844563163,7.985296940264277,15.653254879262114,3.3538155617527625,9.794338999324955,1.749558732805232
13,3,212.20000000000002,157.81083157116205,-12.241750346122949,75.38143121442624,5620.0,91.0,1.0,360.0,53.0,11.0,4.0,1.0,16.14496169532635,17.93391396429751,8.041288279121815,7.870721819372184,6.868208123617975,9.763130485982446,15.696973611849623,10.865954681586585,10.931728628036334,3.6562535277357324
14,1,222.29999999999998,170.2682507884313,59.52927513762721,55.012095823380236,6060.0,90.0,1.0,360.0,44.0,19.0,0.0,2.0,16.056919498258036,19.794024020024143,3.8201282011299513,8.222299060480996,6.347940353077824,10.220268823317191,15.82802217456023,6.92875625075608,19.498015882577974,3.8874401950715805
15,7,197.79999999999998,171.85,147.1,17.8014746580164,5560.0,73.0,1.0,360.0,39.0,10.0,2.0,2.0,15.717474759997577,18.209727028855113,9.495439430250082,7.311534901062081,3.181563931307784,6.157020409734011,15.277627922423681,8.926526679905447,10.155725085527916,3.0743305673540675
16,5,169.79999999999998,140.54000000000002,120.30000000000001,15.611162672908124,4760.0,57.0,1.0,360.0,24.0,11.0,1.0,2.0,15.660104390537716,11.71544435058145,4.910608416173624,8.969743970147977,6.42161794065256,5.468704900990011,8.33734860760467,18.207253011282702,12.14831070743858,9.104236589458747
17,0,211.70000000000002,112.88049323231617,-19.070304637610544,87.61890983234764,5820.0,83.0,1.0,360.0,48.0,12.0,1.0,2.0,15.72562509098432,17.60317261967467,8.833279971231745,7.535762887364139,4.257359942172931,2.8983583887772464,15.487928535307582,9.916786743096598,9.30009877050713,3.3492123891518584
18,9,155.8,137.68293107221888,114.82931072218892,10.579203725041065,3860.0,61.0,1.0,360.0,34.0,10.0,1.0,1.0,15.739664064896752,16.079830063052302,4.479507746230318,8.098847775848462,5.51733533738542,9.74629373220982,7.037834423766095,12.166989946799069,6.086960224803875,4.922562697276941
19,0,202.70000000000002,133.73884981907463,-36.441501809253495,60.514661401038836,6120.0,65.0,1.0,360.0,28.0,11.0,1.0,3.0,15.830940802209321,17.691925357902722,9.667252618241722,7.143061859479757,6.037256937976823,13.244459471442227,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
20,8,233.0,145.19561140947792,-36.9326522874589,77.66776266004776,6940.0,83.0,1.0,360.0,36.0,16.0,1.0,3.0,16.91506537547473,17.875880415115528,0.5244254199614709,8.434228214263166,5.218621380808818,8.388492714553067,14.721821343578585,13.883280394680115,8.087110319453345,4.483126731224867
21,5,242.79999999999998,160.3863612503598,5.763612503597898,58.58583487310094,7960.0,73.0,1.0,360.0,29.0,8.0,4.0,4.0,15.830940802209321,17.691925357902722,1.1007653282706573,7.298468100669216,5.546406903339563,10.398819904425018,14.923926388751534,13.16869782137358,12.349969308434517,3.6980608148446144
22,0,191.6,167.89000000000001,145.5,12.696649164248019,5280.0,71.0,1.0,360.0,42.0,9.0,1.0,2.0,15.830940802209321,17.691925357902722,1.1007653282706573,7.298468100669216,5.546406903339563,10.398819904425018,14.923926388751534,13.16869782137358,12.349969308434517,3.6980608148446144
23,3,198.6,159.03404209467027,74.14042094670275,31.031365694182252,5680.0,72.0,1.0,360.0,37.0,9.0,3.0,2.0,15.932880362593318,17.691925357902722,6.328760521374452,7.77745790077097,5.873588273039412,11.204634062841516,8.030484440122574,15.924526712325127,11.475299610660521,4.92191610798377
24,5,175.79999999999998,154.57,140.6,11.340903844050521,4660.0,69.0,1.0,360.0,39.0,7.0,4.0,1.0,15.882690980563387,17.61075034120593,5.792580087150143,7.82028321647566,5.486659966135826,11.199375255012107,11.55606895734899,11.841258680067545,12.410244400589988,2.1063628306295628
25,2,227.79999999999998,164.53913258638516,-32.8086741361483,67.88302260195223,6860.0,79.0,1.0,360.0,39.0,11.0,2.0,3.0,3.3049579860470732,18.000968777805046,6.328760521374452,7.3782311307166255,6.969860436406268,10.80452712513118,10.148529521136211,13.28529942241393,12.32725414547157,1.9817879264763711
26,0,235.1,201.85999999999999,179.70000000000002,19.516054929211485,6880.0,86.0,1.0,360.0,42.0,16.0,0.0,3.0,15.882690980563387,17.61075034120593,5.792580087150143,7.82028321647566,5.486659966135826,11.199375255012107,11.55606895734899,11.841258680067545,12.410244400589988,2.1063628306295628
27,4,261.4,198.38048886132637,-27.59511138673593,77.85855544759218,7900.0,97.0,1.0,360.0,40.0,18.0,3.0,3.0,15.889465027284777,17.627742188000582,5.792580087150143,7.578075045045544,5.139849166281094,11.199375255012107,11.554350478132273,11.757733436162335,12.34665062872469,3.367456766261414
28,6,226.1,205.19,185.3,12.072319578274918,6180.0,92.0,1.0,360.0,42.0,21.0,0.0,2.0,15.864937048183855,17.615601907890863,6.163638623840998,7.770404898017761,5.315727453372755,7.059297728123272,11.481831435861789,11.720178802125613,12.106532884719499,2.6260911435338867
29,5,247.9,210.64000000000001,186.6,16.794892080629758,7100.0,100.0,1.0,360.0,50.0,15.0,4.0,2.0,15.91978482000342,17.629589950131724,6.911624852217145,7.642476284210933,5.079447045045737,13.227872995777718,11.407092398446322,10.908859064619904,12.088991823696885,4.017322927510306
30,0,265.59999999999997,196.13731397542603,-4.826860245739745,70.21461332577671,7980.0,100.0,1.0,360.0,47.0,16.0,3.0,3.0,15.858871679458757,17.61878741269509,5.872227796476535,7.722414958158243,5.232009200045341,15.221746254113873,11.492954739697778,11.72180917781962,12.041426971033879,2.9961995167465383
31,0,264.79999999999995,204.36999999999998,179.0,24.20979347289025,8360.0,89.0,1.0,360.0,39.0,14.0,2.0,4.0,15.858871679458757,17.61878741269509,5.872227796476535,7.722414958158243,5.232009200045341,15.221746254113873,11.492954739697778,11.72180917781962,12.041426971033879,2.9961995167465383
32,8,194.0,128.02374528590443,-11.45908644672604,66.42969994549371,5440.0,71.0,1.0,360.0,41.0,8.0,2.0,2.0,15.657462289236502,17.493990355225794,6.27149004565414,7.6746096968339845,5.193103665921334,12.199429096767687,11.338411023206229,11.393321139549942,12.018074730878995,3.352962963174619
