Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,1,103.24362804789307,25.68004635766335,-32.49996748230078,43.892942594776116,3290.0,64.0,1.0,218.5,46.0,5.5,2.0,0.25,18.421954100693043,13.626563753420367,12.395569719445952,14.339294847215399,15.597039275976373,4.978098701237921,7.540114021533736,16.202915044897008,5.117124365014868,15.118268149197133
1,1,91.4200091674424,38.157381881992535,-33.01597413575976,43.258314343954275,2485.0,60.75,1.0,256.25,55.25,2.75,0.0,0.0,6.947994881539771,16.988159614388838,6.452539279649479,16.897994366458427,2.5591713844624437,19.275538106923726,16.637910680948778,17.58548757937982,0.6876001307158567,13.156201527443052
2,2,152.22500000000002,90.85639346060805,21.779700084035564,43.68974036825568,3555.0,64.25,1.0,360.0,45.75,5.25,2.0,0.5,18.593029189128863,19.742304239952222,16.74848039911007,13.833562799977441,12.353908296586331,6.844502448055471,9.739621861361428,15.144206417220873,5.699565539135422,13.892731233298303
3,0,123.65,104.61415220795136,64.16320307878429,17.505762808378243,2625.0,50.75,1.0,360.0,38.75,3.25,1.5,0.25,18.593029189128863,19.742304239952222,16.74848039911007,13.833562799977441,12.353908296586331,6.844502448055471,9.739621861361428,15.144206417220873,5.699565539135422,13.892731233298303
4,1,137.2,108.92473042355417,79.92480423554173,13.548751916321253,3370.0,49.75,1.0,360.0,34.25,3.5,1.5,1.0,18.593029189128863,19.839145077339204,16.74848039911007,13.833562799977441,12.336384115690688,1.06305418374298,9.739621861361428,15.483469126198028,5.425910279314264,13.892731233298303
5,2,133.9943107394802,61.868373343515564,-35.79442960678739,54.68031467830658,3110.0,67.75,1.0,315.5,52.75,7.0,0.0,0.25,18.582470211612637,10.209006706982215,17.83474163909119,11.642186156877587,5.5017649243839415,17.061775377616293,10.98853095610017,18.975147678634364,13.884586424174184,11.063024455590167
6,5,123.975,109.07035798157673,56.82150777457396,20.74183427287017,2580.0,51.75,1.0,360.0,40.75,3.5,1.0,0.25,14.63258503985288,19.32140301573732,11.318337358591561,14.114228234896501,12.336384115690688,1.1623420716966564,7.981266175525714,15.486570211772083,10.395043737272813,15.333733906224719
7,9,197.79999999999998,120.22692017877417,-31.983270986821413,71.74355912612978,4310.0,100.75,1.0,360.0,80.25,9.5,0.5,0.0,18.68005744284945,6.765088235737127,17.83474163909119,11.269582261827605,4.80925275268291,17.061775377616296,7.0432146986433795,18.975147678634364,13.884586424174184,11.063024455590167
8,9,182.475,148.52332103225825,48.004742574027546,50.03879714043952,4280.0,84.75,1.0,360.0,50.75,13.5,2.0,0.25,18.58266472728432,11.729599205939254,12.286935426866895,8.76890551211368,7.854609793357204,12.282909118970343,10.52285869665553,17.381274982655057,11.361984697614787,7.984624935019025
9,7,197.375,156.7027590622685,74.06698981977445,38.929113454422755,4815.0,90.5,1.0,360.0,58.5,11.25,2.5,0.5,18.355986714876195,15.428098316353022,8.248551850264318,10.975171496984744,8.007604071464371,6.728950645515975,9.296544064274688,18.345760105469886,10.802924227963913,9.320652751551268
10,0,197.05,154.07161973784963,28.642059458909756,49.73065103348566,4785.0,89.5,1.0,360.0,62.75,10.0,1.25,0.75,18.355986714876195,15.428098316353022,8.248551850264318,10.975171496984744,8.007604071464371,6.728950645515975,9.296544064274688,18.345760105469886,10.802924227963913,9.320652751551268
11,7,183.95,162.26327264208214,104.44898661766007,23.769849334119815,4270.0,85.25,1.0,360.0,60.5,10.25,0.75,0.5,18.35905302944801,14.393095213364642,9.135408950732318,11.476375768579535,8.061279860264438,6.860274314468415,9.360296775822983,16.27391352795961,11.182919531278056,10.543566087761358
12,8,188.525,162.20202086906053,26.849088987095683,47.327560017913996,4500.0,87.5,1.0,360.0,57.5,10.0,3.0,0.25,18.355986714876195,15.534152998481822,8.248551850264318,10.975171496984744,8.007604071464371,6.728950645515975,8.986887736370074,18.345760105469886,17.26092778826738,9.237789555557605
13,5,187.14999999999998,168.59034769849842,125.80596593861094,20.571251124738374,4500.0,85.0,1.0,360.0,55.0,11.0,2.0,0.5,18.359287880117808,13.84915771186612,10.23626144727697,12.005826658585224,10.952464576696357,7.6816657506461,9.909453144619333,16.95162505319029,11.37192939849783,10.819716821619025
14,0,191.2,163.6998072389462,24.034268182026683,48.11671904085479,4620.0,87.25,1.0,360.0,58.0,10.25,2.25,0.5,18.359287880117808,13.84915771186612,10.23626144727697,12.005826658585224,10.952464576696357,7.6816657506461,9.909453144619333,16.95162505319029,11.37192939849783,10.819716821619025
15,2,260.85,166.75737760063487,-14.625631971938734,66.79881723918483,8180.0,90.0,1.0,360.0,34.5,15.5,3.5,3.5,18.11539545671326,13.285323463101891,8.209010543419776,3.917782988741072,2.018089313943957,10.11062013886682,9.140432393681781,6.259176637832846,11.37192939849783,0.8244416962213157
16,0,163.1,139.60250000000002,128.8,10.441458530780071,4255.0,61.25,1.0,360.0,24.5,14.0,1.25,1.25,18.11539545671326,13.285323463101891,8.209010543419776,3.917782988741072,2.018089313943957,10.11062013886682,9.140432393681781,6.259176637832846,11.37192939849783,0.8244416962213157
17,2,147.5,116.95475370993941,63.23336933742629,22.015190720255816,3765.0,53.0,1.0,360.0,28.5,8.25,1.0,1.25,18.55931232253355,13.285323463101891,7.268970419652108,4.351631499158626,3.7155260659009177,6.217871030566621,16.312180747279,12.273035339399641,10.198465862432233,1.9698632927101842
18,0,145.95,129.34167869908055,119.85,7.896985470565678,3720.0,53.25,1.0,360.0,24.25,9.5,2.0,1.0,18.55931232253355,13.285323463101891,7.268970419652108,4.351631499158626,3.7155260659009177,6.217871030566621,16.312180747279,12.273035339399641,10.198465862432233,1.9698632927101842
