AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
t1a3,1,49000,8,24,96,565,600,861,1
t1a3,2,44920,2,22,98,653,600,923,1
t1a3,3,51040,8,18,110,626,600,932,1
t1a3,4,50840,6,29,105,611,600,932,1
t1a3,5,49520,7,16,110,633,600,929,1
t1a3,6,52520,8,27,107,603,600,930,1
t1a3,7,42860,7,19,86,504,496,761,1
t1a3,8,51360,10,19,87,624,600,895,1
t1a3,9,44620,6,14,99,583,600,847,1
t1a3,10,47980,8,20,97,567,600,853,1
t1a3,11,12800,2,4,28,160,173,236,1
t1a3,12,43080,4,12,106,602,600,866,1
t1a3,13,45460,3,18,91,684,600,932,1
t1a3,14,18600,4,7,29,220,214,315,1
t1a3,15,49140,8,16,117,576,600,890,1
t1a3,16,44560,5,15,91,624,600,871,1
t1a3,17,47940,6,27,102,561,600,870,1
t1a3,18,53440,12,20,104,566,600,882,1
t1a3,19,53120,8,29,109,598,600,935,1
t1a3,20,7540,0,2,19,126,118,170,1
