AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
m1,1,68160,20,34,192,369,600,935,1
m1,2,62640,18,31,167,376,600,875,1
m1,3,60780,17,28,165,387,600,869,1
m1,4,7680,3,7,13,17,61,76,1
m1,5,60760,16,31,177,364,600,875,1
m1,6,57680,13,29,181,382,600,883,1
m1,7,60140,16,30,185,336,600,860,1
m1,8,27500,10,11,68,135,230,344,1
m1,9,62840,14,39,183,401,600,940,1
m1,10,66480,18,38,182,382,600,932,1
m1,11,70500,23,33,170,400,600,931,1
m1,12,66680,21,33,165,377,600,890,1
m1,13,54440,11,27,183,371,600,862,1
m1,14,59280,15,32,176,352,600,860,1
m1,15,61920,19,24,182,343,600,855,1
m1,16,21340,6,13,54,121,219,292,1
m1,17,53340,8,43,158,376,600,853,1
m1,18,63700,18,34,175,360,600,884,1
m1,19,57200,12,22,208,385,600,915,1
m1,20,65980,19,35,170,392,600,913,1
