AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
r1a1,1,45320,2,20,106,658,600,938,1
r1a1,2,41720,2,13,111,608,600,877,1
r1a1,3,43340,3,16,111,596,600,878,1
r1a1,4,42720,4,9,99,633,600,874,1
r1a1,5,43120,3,16,114,583,600,871,1
r1a1,6,42280,3,14,100,612,600,866,1
r1a1,7,45840,2,26,108,621,600,923,1
r1a1,8,46580,3,21,104,657,600,940,1
r1a1,9,48720,6,14,128,613,600,935,1
r1a1,10,45840,3,20,120,606,600,918,1
r1a1,11,41500,2,15,108,595,600,864,1
r1a1,12,41620,1,21,108,583,600,866,1
r1a1,13,44060,4,19,100,589,600,862,1
r1a1,14,40300,0,22,97,600,600,860,1
r1a1,15,42240,3,16,98,601,600,857,1
r1a1,16,46440,5,17,111,606,600,899,1
r1a1,17,45460,3,23,96,634,600,907,1
r1a1,18,42760,1,17,109,639,600,912,1
r1a1,19,43920,1,18,100,683,600,941,1
r1a1,20,41540,1,10,105,671,600,915,1
