AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
t1a3,1,51520,8,21,105,628,600,933,1
t1a3,2,49480,9,17,93,607,600,880,1
t1a3,3,42220,2,18,87,643,600,879,1
t1a3,4,47120,6,21,107,573,600,874,1
t1a3,5,51040,10,21,101,566,600,871,1
t1a3,6,51720,11,21,97,563,600,864,1
t1a3,7,9080,4,3,13,52,77,103,1
t1a3,8,43300,8,9,94,540,517,787,1
t1a3,9,51520,8,22,96,643,600,933,1
t1a3,10,50620,8,15,104,653,600,938,1
t1a3,11,50220,7,23,104,613,600,918,1
t1a3,12,48700,8,19,108,565,600,870,1
t1a3,13,49380,9,21,86,592,600,863,1
t1a3,14,44080,4,20,98,587,600,859,1
t1a3,15,47360,7,20,98,579,600,863,1
t1a3,16,50780,10,26,91,547,600,847,1
t1a3,17,51860,10,18,111,584,600,900,1
t1a3,18,46280,6,9,95,672,600,913,1
t1a3,19,43640,3,10,104,666,600,916,1
t1a3,20,52040,8,22,118,601,600,935,1
